"","vehicle_class","fuel_type","engine_size","cylinders","fuel_consumption","CO2_emissions"
"AUDI S8 QUATTRO # A5","Car","Diesel",4.2,8,17.8,347
"MAZDA B3000 A5","Truck/SUV","Gas",3,6,16,327
"DODGE RAM 1500 M5","Truck/SUV","Gas",3.9,6,18.2,359
"FORD TAURUS A4","Car","Gas",3,6,14.6,283
"LEXUS RX 300 4X4 A4","Truck/SUV","Gas",3,6,14.6,304
"DODGE RAM 2500 VAN A4","Truck/SUV","Gas",5.2,8,20,396
"GMC SONOMA A4","Truck/SUV","Gas",4.3,6,15.4,313
"SUZUKI SWIFT M5","Car","Gas",1.3,4,7.6,156
"VOLKSWAGEN PASSAT M5","Car","Diesel",1.8,4,11.9,237
"FORD E250 VAN A4","Truck/SUV","Gas",4.2,6,18,363
"MERCEDES-BENZ CL 500 A5","Car","Diesel",5,8,16.2,320
"LINCOLN LS M5","Car","Diesel",3,6,14.6,288
"MERCEDES-BENZ S 430 A5","Car","Diesel",4.3,8,14.9,292
"SUZUKI SWIFT A3","Car","Gas",1.3,4,9.1,191
"FORD FOCUS # M5","Car","Gas",2,4,10.9,219
"NISSAN FRONTIER V6 4X4 # M5","Truck/SUV","Diesel",3.3,6,17.6,373
"CHEVROLET CAMARO M5","Car","Gas",3.8,6,13.8,262
"SATURN SL # A4","Car","Gas",1.9,4,10.6,209
"BMW 320i M5","Car","Diesel",2.2,6,12.8,251
"PORSCHE 911 CARRERA M6","Car","Diesel",3.4,6,15.4,301
"PORSCHE BOXSTER S M6","Car","Diesel",3.2,6,15,294
"OLDSMOBILE AURORA A4","Car","Gas",3.5,6,14.9,288
"DAEWOO NUBIRA A4","Car","Gas",2,4,12,239
"DODGE DAKOTA A4","Truck/SUV","Gas",3.9,6,16.8,343
"VOLKSWAGEN GOLF M5","Car","Diesel",1.8,4,11,225
"MAZDA TRIBUTE M5","Truck/SUV","Gas",2,4,11.4,239
"TOYOTA COROLLA M5","Car","Gas",1.8,4,8.5,175
"TOYOTA ECHO A4","Car","Gas",1.5,4,8.6,179
"AUDI A4 QUATTRO A5","Car","Diesel",1.8,4,13.3,265
"CHEVROLET MONTE CARLO A4","Car","Gas",3.4,6,12.5,239
"GMC G1500/G2500 SAVANA PASSENGER A4","Truck/SUV","Gas",4.3,6,18.3,380
"MAZDA 626 M5","Car","Gas",2,4,10.8,221
"FORD EX SPORT TRAC 4X4 A5","Truck/SUV","Gas",4,6,17.4,357
"SUBARU IMPREZA AWD A4","Car","Gas",2.2,4,11.7,239
"GMC JIMMY 4X4 M5","Truck/SUV","Gas",4.3,6,18.7,386
"AUDI ALLROAD M6","Truck/SUV","Diesel",2.7,6,16.5,336
"FORD EX SPORT TRAC 4X4 M5","Truck/SUV","Gas",4,6,16.3,340
"MAZDA MX-5 MIATA A4","Car","Diesel",1.8,4,12,248
"FORD RANGER A5","Truck/SUV","Gas",3,6,16,327
"CHEVROLET S10 4X4 M5","Truck/SUV","Gas",4.3,6,18.6,384
"BMW M5 M6","Car","Diesel",4.9,8,19.4,373
"CHEVROLET BLAZER A4","Truck/SUV","Gas",4.3,6,15.4,313
"DODGE CARAVAN A4","Truck/SUV","Gas",3.3,6,14.9,299
"BMW 530i A5","Car","Diesel",3,6,14.2,281
"NISSAN FRONTIER V6 4X4 A4","Truck/SUV","Gas",3.3,6,17,357
"OLDSMOBILE ALERO A4","Car","Gas",2.4,4,12.7,251
"NISSAN SENTRA A4","Car","Gas",1.8,4,10.3,212
"PORSCHE 911 TURBO AS5","Car","Diesel",3.6,6,17.7,343
"BMW 325Ci M5","Car","Diesel",2.5,6,13,253
"FORD RANGER 4X4 M5","Truck/SUV","Gas",3,6,15.7,329
"HYUNDAI ACCENT M5","Car","Gas",1.5,4,9.6,196
"SAAB 9-5 WAGON TURBO # A4","Truck/SUV","Diesel",2.3,4,14,281
"VOLKSWAGEN PASSAT WAGON A5","Truck/SUV","Diesel",1.8,4,13.3,262
"VOLKSWAGEN JETTA A4","Car","Diesel",1.8,4,11.9,246
"NISSAN FRONTIER V6 # A4","Truck/SUV","Diesel",3.3,6,17,359
"NISSAN FRONTIER M5","Truck/SUV","Gas",2.4,4,12,255
"AUDI A6 A5","Car","Diesel",2.8,6,15,294
"MAZDA PROTEGE A4","Car","Gas",1.6,4,10.6,221
"AUDI A4 M5","Car","Diesel",1.8,4,11.8,232
"CHRYSLER CONCORDE A4","Car","Gas",2.7,6,13.4,265
"DAEWOO NUBIRA WAGON M5","Truck/SUV","Gas",2,4,11.9,237
"GMC SAFARI CARGO A4","Truck/SUV","Gas",4.3,6,15.4,313
"PONTIAC BONNEVILLE # A4","Car","Diesel",3.8,6,14.5,278
"SUBARU IMPREZA WAGON AWD M5","Truck/SUV","Gas",2.2,4,11.8,242
"BMW X5 A5","Truck/SUV","Diesel",3,6,16.4,338
"TOYOTA CELICA M6","Car","Diesel",1.8,4,11.6,230
"BMW 325Ci A5","Car","Diesel",2.5,6,13.3,265
"BMW 540i SPORT WAGON A5","Truck/SUV","Diesel",4.4,8,15.5,320
"FORD EXPLORER 4X4 A4","Truck/SUV","Gas",5,8,18.6,373
"DODGE RAM 1500 VAN A4","Truck/SUV","Gas",5.2,8,20,396
"TOYOTA AVALON A4","Car","Gas",3,6,12.7,251
"NISSAN MAXIMA A4","Car","Gas",3,6,13.6,271
"JEEP CHEROKEE 4X4 A4","Truck/SUV","Gas",4,6,17.3,352
"CHEVROLET C1500 SUBURBAN A4","Truck/SUV","Gas",5.3,8,18.7,391
"NISSAN XTERRA V6 4X4 A4","Truck/SUV","Gas",3.3,6,17,357
"CHRYSLER SEBRING CONVERTIBLE A4","Car","Gas",2.7,6,13.4,265
"CHEVROLET TRACKER CONVERTIBLE 4X4 A4","Truck/SUV","Gas",2,4,11.7,251
"SUZUKI VITARA CONVERTIBLE 4X4 A4","Truck/SUV","Gas",2,4,11.7,253
"KIA SEPHIA M5","Car","Gas",1.8,4,11.7,239
"GMC SONOMA M5","Truck/SUV","Gas",4.3,6,17,338
"ACURA 1.7EL M5","Car","Gas",1.7,4,8.9,191
"DAEWOO LANOS A4","Car","Gas",1.5,4,11.3,216
"MERCEDES-BENZ ML 430 4X4 A5","Truck/SUV","Diesel",4.3,8,16.5,340
"DAEWOO LANOS M5","Car","Gas",1.5,4,10.3,205
"MERCEDES-BENZ SLK 230 KOMPRESSOR M6","Car","Diesel",2.3,6,13.2,258
"GMC JIMMY M5","Truck/SUV","Gas",4.3,6,17,343
"HYUNDAI SANTA FE A4","Truck/SUV","Gas",2.7,6,14.2,292
"MERCEDES-BENZ C 320 A5","Car","Diesel",3.2,6,13.8,278
"SAAB 9-5 TURBO A4","Car","Gas",2.3,4,13.3,262
